Name,Points,Unnamed: 1_level_0Age,GamesG,GamesGS,RushingRush,RushingYds,RushingTD,Rushing1D,RushingLng,RushingY/A,RushingY/G,RushingA/G,ReceivingTgt,ReceivingRec,ReceivingYds,ReceivingY/R,ReceivingTD,Receiving1D,ReceivingLng,ReceivingR/G,ReceivingY/G,ReceivingCtch%,ReceivingY/Tgt,Total YdsTouch,Total YdsY/Tch,Total YdsYScm,Unnamed: 29_level_0RRTD,Unnamed: 30_level_0Fmb
Brandin Cooks,244.5,25,16,16,10,68,1,5,17,6.8,4.3,0.6,117,80,1204,15.1,5,56,57,5,75.3,0.684,10.3,90,14.1,1272,6,1
Brandin Cooks,462,26,14,14,6,52,0,3,27,8.7,3.7,0.4,72,42,583,13.9,2,32,57,3,41.6,0.583,8.1,48,13.2,635,2,0
Brandin Cooks,443.4,27,15,15,0,0,0,0,0,0,0,0,119,81,1150,14.2,6,51,57,5.4,76.7,0.681,9.7,81,14.2,1150,6,0
Brandin Cooks,286.8,28,16,16,2,21,0,1,16,10.5,1.3,0.1,134,90,1037,11.5,6,45,52,5.6,64.8,0.672,7.7,92,11.5,1058,6,0
Dallas Goedert,266.1,23,16,8,0,0,0,0,0,0,0,0,44,33,334,10.1,4,15,32,2.1,20.9,0.75,7.6,33,10.1,334,4,0
Dallas Goedert,221.2,24,15,9,0,0,0,0,0,0,0,0,87,58,607,10.5,5,33,28,3.9,40.5,0.667,7,58,10.5,607,5,2
Dallas Goedert,327,25,11,9,0,0,0,0,0,0,0,0,65,46,524,11.4,3,28,41,4.2,47.6,0.708,8.1,46,11.4,524,3,0
Dallas Goedert,281.6,26,15,14,0,0,0,0,0,0,0,0,76,56,830,14.8,4,42,45,3.7,55.3,0.737,10.9,56,14.8,830,4,1
Marquez Valdes-Scantling,176.3,24,16,10,2,29,0,2,21,14.5,1.8,0.1,73,38,581,15.3,2,23,60,2.4,36.3,0.521,8,40,15.3,610,2,0
Marquez Valdes-Scantling,277.9,25,16,10,2,9,0,0,9,4.5,0.6,0.1,56,26,452,17.4,2,14,74,1.6,28.3,0.464,8.1,28,16.5,461,2,0
Marquez Valdes-Scantling,173,26,16,12,4,13,0,1,9,3.3,0.8,0.3,63,33,690,20.9,6,27,78,2.1,43.1,0.524,11,37,19,703,6,1
Marquez Valdes-Scantling,259.2,27,11,7,0,0,0,0,0,0,0,0,55,26,430,16.5,3,18,75,2.4,39.1,0.473,7.8,26,16.5,430,3,0
Parris Campbell,32.1,22,7,3,4,34,0,1,22,8.5,4.9,0.6,24,18,127,7.1,1,6,27,2.6,18.1,0.75,5.3,22,7.3,161,1,3
Parris Campbell,64.6,23,2,2,2,16,0,2,9,8,8,1,9,6,71,11.8,0,4,21,3,35.5,0.667,7.9,8,10.9,87,0,0
Parris Campbell,283.3,24,6,3,0,0,0,0,0,0,0,0,20,10,162,16.2,1,7,51,1.7,27,0.5,8.1,10,16.2,162,1,0
Samaje Perine,14.1,22,16,8,175,603,1,23,30,3.4,37.7,10.9,24,22,182,8.3,1,9,25,1.4,11.4,0.917,7.6,197,4,785,2,2
Samaje Perine,0,23,5,0,8,32,0,2,11,4,6.4,1.6,4,3,5,1.7,0,0,8,0.6,1,0.75,1.3,11,3.4,37,0,0
Samaje Perine,0,24,7,0,5,16,0,1,9,3.2,2.3,0.7,0,0,0,0,0,0,0,0,0,0,0,5,3.2,16,0,0
Samaje Perine,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samaje Perine,139.1,0,1,0,5,16,0,1,9,3.2,16,5,0,0,0,0,0,0,0,0,0,0,0,5,3.2,16,0,0
Samaje Perine,171.6,25,16,1,63,301,3,16,46,4.8,18.8,3.9,12,11,66,6,0,4,15,0.7,4.1,0.917,5.5,74,5,367,3,0
Samaje Perine,278.3,26,16,0,55,246,1,11,46,4.5,15.4,3.4,31,27,196,7.3,1,9,23,1.7,12.3,0.871,6.3,82,5.4,442,2,0
Kareem Hunt,470.6,22,16,16,272,1327,8,63,69,4.9,82.9,17,63,53,455,8.6,3,17,78,3.3,28.4,0.841,7.2,325,5.5,1782,11,1
Kareem Hunt,192.2,23,11,11,181,824,7,46,45,4.6,74.9,16.5,35,26,378,14.5,7,16,67,2.4,34.4,0.743,10.8,207,5.8,1202,14,0
Kareem Hunt,443.5,24,8,3,43,179,2,8,16,4.2,22.4,5.4,44,37,285,7.7,1,17,29,4.6,35.6,0.841,6.5,80,5.8,464,3,1
Kareem Hunt,220,25,16,5,198,841,6,44,33,4.2,52.6,12.4,51,38,304,8,5,19,26,2.4,19,0.745,6,236,4.9,1145,11,2
Kareem Hunt,260.4,26,8,1,78,386,5,22,33,4.9,48.3,9.8,27,22,174,7.9,0,10,23,2.8,21.8,0.815,6.4,100,5.6,560,5,0
K.J. Osborn,291.5,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
K.J. Osborn,284.8,24,17,9,1,10,0,1,10,10,0.6,0.1,82,50,655,13.1,7,26,64,2.9,38.5,0.61,8,51,13,665,7,0
Taysom Hill,73,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taysom Hill,178,28,16,4,37,196,2,15,35,5.3,12.3,2.3,7,3,4,1.3,0,0,5,0.2,0.3,0.429,0.6,40,5,200,2,1
Taysom Hill,208.5,29,16,5,27,156,1,10,30,5.8,9.8,1.7,22,19,234,12.3,6,14,45,1.2,14.6,0.864,10.6,46,8.5,390,7,0
Taysom Hill,157.8,30,16,8,87,457,8,34,43,5.3,28.6,5.4,12,8,98,12.3,1,4,21,0.5,6.1,0.667,8.2,95,5.8,555,9,10
Taysom Hill,254.6,31,12,9,70,374,5,26,44,5.3,31.2,5.8,6,4,52,13,0,4,15,0.3,4.3,0.667,8.7,74,5.8,426,5,2
Kalif Raymond,-5.7,22,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Kalif Raymond,0.3,23,8,0,1,-1,0,0,0,-1,-0.1,0.1,1,1,12,12,0,0,12,0.1,1.5,1,12,2,5.5,11,0,5
Kalif Raymond,0,0,6,0,1,-1,0,0,-1,-1,-0.2,0.2,1,1,12,12,0,1,12,0.2,2,1,12,2,5.5,11,0,2
Kalif Raymond,62.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Kalif Raymond,64.2,25,8,1,1,-5,0,0,-5,-5,-0.6,0.1,12,9,170,18.9,1,6,52,1.1,21.3,0.75,14.2,10,16.5,165,1,1
Kalif Raymond,253.2,26,15,3,1,-3,0,0,-3,-3,-0.2,0.1,15,9,187,20.8,0,7,61,0.6,12.5,0.6,12.5,10,18.4,184,0,0
Kalif Raymond,236.6,27,16,14,4,28,0,2,13,7,1.8,0.3,71,48,576,12,4,28,75,3,36,0.676,8.1,52,11.6,604,4,0
Tyler Higbee,119.5,23,16,7,0,0,0,0,0,0,0,0,29,11,85,7.7,1,3,31,0.7,5.3,0.379,2.9,11,7.7,85,1,0
Tyler Higbee,121.6,24,16,16,0,0,0,0,0,0,0,0,45,25,295,11.8,1,12,38,1.6,18.4,0.556,6.6,25,11.8,295,1,0
Tyler Higbee,307.2,25,16,16,0,0,0,0,0,0,0,0,34,24,292,12.2,2,16,36,1.5,18.3,0.706,8.6,24,12.2,292,2,1
Tyler Higbee,230.6,26,15,15,0,0,0,0,0,0,0,0,89,69,734,10.6,3,36,33,4.6,48.9,0.775,8.2,69,10.6,734,3,0
Tyler Higbee,257,27,15,15,1,1,0,0,1,1,0.1,0.1,60,44,521,11.8,5,27,44,2.9,34.7,0.733,8.7,45,11.6,522,5,0
Tyler Higbee,276,28,15,15,0,0,0,0,0,0,0,0,85,61,560,9.2,5,33,37,4.1,37.3,0.718,6.6,61,9.2,560,5,1
David Njoku,271.7,21,16,5,1,1,0,0,1,1,0.1,0.1,60,32,386,12.1,4,17,34,2,24.1,0.533,6.4,33,11.7,387,4,0
David Njoku,23.3,22,16,14,0,0,0,0,0,0,0,0,88,56,639,11.4,4,27,66,3.5,39.9,0.636,7.3,56,11.4,639,4,0
David Njoku,94.9,23,4,1,0,0,0,0,0,0,0,0,10,5,41,8.2,1,3,18,1.3,10.3,0.5,4.1,5,8.2,41,1,0
David Njoku,202.8,24,13,5,0,0,0,0,0,0,0,0,29,19,213,11.2,2,13,28,1.5,16.4,0.655,7.3,19,11.2,213,2,0
David Njoku,266,25,16,11,1,1,0,0,1,1,0.1,0.1,53,36,475,13.2,4,17,71,2.3,29.7,0.679,9,37,12.9,476,4,0
Dalton Schultz,2.8,22,11,7,0,0,0,0,0,0,0,0,17,12,116,9.7,0,6,17,1.1,10.5,0.706,6.8,12,9.7,116,0,0
Dalton Schultz,269.5,23,16,0,0,0,0,0,0,0,0,0,2,1,6,6,0,0,6,0.1,0.4,0.5,3,1,6,6,0,0
Dalton Schultz,368.4,24,16,14,0,0,0,0,0,0,0,0,89,63,615,9.8,4,33,28,3.9,38.4,0.708,6.9,63,9.8,615,4,1
Dalton Schultz,258.1,25,17,15,0,0,0,0,0,0,0,0,104,78,808,10.4,8,43,32,4.6,47.5,0.75,7.8,78,10.4,808,8,0
Richie James,59.2,23,13,2,0,0,0,0,0,0,0,0,14,9,130,14.4,1,4,53,0.7,10,0.643,9.3,9,14.4,130,1,2
Richie James,143.2,24,16,1,2,-1,0,0,0,-0.5,-0.1,0.1,10,6,165,27.5,1,5,57,0.4,10.3,0.6,16.5,8,20.5,164,1,1
Richie James,247.5,25,11,7,0,0,0,0,0,0,0,0,35,23,394,17.1,1,15,47,2.1,35.8,0.657,11.3,23,17.1,394,1,2
Kenyan Drake,316.9,22,16,1,33,179,2,9,45,5.4,11.2,2.1,10,9,46,5.1,0,2,9,0.6,2.9,0.9,4.6,42,5.4,225,2,1
Kenyan Drake,406.6,23,16,6,133,644,3,26,66,4.8,40.3,8.3,48,32,239,7.5,1,7,47,2,14.9,0.667,5,165,5.4,883,4,2
Kenyan Drake,442.6,24,16,7,120,535,4,23,54,4.5,33.4,7.5,73,53,477,9,5,23,52,3.3,29.8,0.726,6.5,173,5.8,1012,9,2
Kenyan Drake,320.2,25,14,10,170,817,8,48,80,4.8,58.4,12.1,68,50,345,6.9,0,15,26,3.6,24.6,0.735,5.1,220,5.3,1162,8,2
Kenyan Drake,122.4,0,8,8,123,643,8,42,80,5.2,80.4,15.4,35,28,171,6.1,0,9,21,3.5,21.4,0.8,4.9,151,5.4,814,8,0
Kenyan Drake,406.6,0,6,2,47,174,0,6,11,3.7,29,7.8,33,22,174,7.9,0,6,26,3.7,29,0.667,5.3,69,5,348,0,2
Kenyan Drake,209.5,26,15,13,239,955,10,59,69,4,63.7,15.9,31,25,137,5.5,0,5,18,1.7,9.1,0.806,4.4,264,4.1,1092,10,3
Kenyan Drake,216.3,27,12,2,63,254,2,15,21,4,21.2,5.3,40,30,291,9.7,1,12,31,2.5,24.3,0.75,7.3,93,5.9,545,3,1
Damien Harris,237.9,22,2,0,4,12,0,0,13,3,6,2,0,0,0,0,0,0,0,0,0,0,0,4,3,12,0,0
Damien Harris,422.3,23,10,10,137,691,2,30,41,5,69.1,13.7,7,5,52,10.4,0,4,15,0.5,5.2,0.714,7.4,142,5.2,743,2,1
Damien Harris,202.7,24,15,15,202,929,15,55,64,4.6,61.9,13.5,21,18,132,7.3,0,4,21,1.2,8.8,0.857,6.3,220,4.8,1061,15,2
Noah Brown,21.2,21,13,1,0,0,0,0,0,0,0,0,9,4,33,8.3,0,3,14,0.3,2.5,0.444,3.7,4,8.3,33,0,0
Noah Brown,61.4,22,8,2,0,0,0,0,0,0,0,0,8,5,54,10.8,0,2,22,0.6,6.8,0.625,6.8,5,10.8,54,0,0
Noah Brown,71.2,24,16,1,1,4,0,0,4,4,0.3,0.1,24,14,154,11,0,6,20,0.9,9.6,0.583,6.4,15,10.5,158,0,0
Noah Brown,225.5,25,13,1,0,0,0,0,0,0,0,0,25,16,184,11.5,0,6,27,1.2,14.2,0.64,7.4,16,11.5,184,0,0
Tyler Conklin,25.4,23,16,3,0,0,0,0,0,0,0,0,7,5,77,15.4,0,3,33,0.3,4.8,0.714,11,5,15.4,77,0,0
Tyler Conklin,81.2,24,15,1,0,0,0,0,0,0,0,0,10,8,58,7.3,0,2,20,0.5,3.9,0.8,5.8,8,7.3,58,0,0
Tyler Conklin,254.9,25,16,2,0,0,0,0,0,0,0,0,26,19,194,10.2,1,11,30,1.2,12.1,0.731,7.5,19,10.2,194,1,1
Tyler Conklin,238.5,26,17,15,0,0,0,0,0,0,0,0,87,61,593,9.7,3,26,40,3.6,34.9,0.701,6.8,61,9.7,593,3,1
Gerald Everett,151.8,23,16,2,1,13,0,1,13,13,0.8,0.1,32,16,244,15.3,2,6,69,1,15.3,0.5,7.6,17,15.1,257,2,1
Gerald Everett,171.4,24,16,0,2,16,0,1,12,8,1,0.1,50,33,320,9.7,3,16,40,2.1,20,0.66,6.4,35,9.6,336,3,0
Gerald Everett,176.7,25,13,2,1,0,0,0,0,0,0,0.1,60,37,408,11,2,22,33,2.8,31.4,0.617,6.8,38,10.7,408,2,0
Gerald Everett,217.4,26,16,7,1,2,1,1,2,2,0.1,0.1,62,41,417,10.2,1,24,40,2.6,26.1,0.661,6.7,42,10,419,2,1
Gerald Everett,248.5,27,15,12,3,20,0,2,13,6.7,1.3,0.2,63,48,478,10,4,26,41,3.2,31.9,0.762,7.6,51,9.8,498,4,2
Cole Kmet,243.6,21,16,9,1,-3,0,0,-3,-3,-0.2,0.1,44,28,243,8.7,2,12,38,1.8,15.2,0.636,5.5,29,8.3,240,2,1
Cole Kmet,255.9,22,17,17,1,0,0,0,0,0,0,0.1,93,60,612,10.2,0,29,25,3.5,36,0.645,6.6,61,10,612,0,0
Chris Moore,107.7,23,15,0,3,19,0,1,10,6.3,1.3,0.2,16,7,46,6.6,0,2,13,0.5,3.1,0.438,2.9,10,6.5,65,0,1
Chris Moore,88.9,24,13,4,2,-9,0,0,-4,-4.5,-0.7,0.2,38,18,248,13.8,3,11,30,1.4,19.1,0.474,6.5,20,12,239,3,0
Chris Moore,9.3,25,16,0,5,17,0,1,9,3.4,1.1,0.3,25,19,196,10.3,1,8,30,1.2,12.3,0.76,7.8,24,8.9,213,1,0
Chris Moore,0,26,14,1,1,0,0,0,0,0,0,0.1,5,3,21,7,0,0,13,0.2,1.5,0.6,4.2,4,5.3,21,0,0
Chris Moore,101.1,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Moore,225.3,28,12,1,0,0,0,0,0,0,0,0,22,21,227,10.8,2,6,67,1.8,18.9,0.955,10.3,21,10.8,227,2,0
Melvin Gordon,533.8,22,14,12,184,641,0,36,27,3.5,45.8,13.1,37,33,192,5.8,0,8,18,2.4,13.7,0.892,5.2,217,3.8,833,0,6
Melvin Gordon,602.3,23,13,11,254,997,10,62,48,3.9,76.7,19.5,57,41,419,10.2,2,21,35,3.2,32.2,0.719,7.4,295,4.8,1416,12,2
Melvin Gordon,544.5,24,16,16,284,1105,8,61,87,3.9,69.1,17.8,83,58,476,8.2,4,22,49,3.6,29.8,0.699,5.7,342,4.6,1581,12,1
Melvin Gordon,360.4,25,12,12,175,885,10,47,34,5.1,73.8,14.6,66,50,490,9.8,4,21,66,4.2,40.8,0.758,7.4,225,6.1,1375,14,1
Melvin Gordon,427.2,26,12,11,162,612,8,39,24,3.8,51,13.5,55,42,296,7,1,11,25,3.5,24.7,0.764,5.4,204,4.5,908,9,4
Melvin Gordon,421.3,27,15,10,215,986,9,46,65,4.6,65.7,14.3,44,32,158,4.9,1,7,20,2.1,10.5,0.727,3.6,247,4.6,1144,10,4
Melvin Gordon,189.3,28,16,16,203,918,8,48,70,4.5,57.4,12.7,38,28,213,7.6,2,9,30,1.8,13.3,0.737,5.6,231,4.9,1131,10,3
Olamide Zaccheaus,108.2,22,10,0,0,0,0,0,0,0,0,0,5,3,115,38.3,1,2,93,0.3,11.5,0.6,23,3,38.3,115,1,0
Olamide Zaccheaus,171.4,23,11,2,1,0,0,0,0,0,0,0.1,32,20,274,13.7,1,16,51,1.8,24.9,0.625,8.6,21,13,274,1,0
Olamide Zaccheaus,218,24,17,8,1,2,0,1,2,2,0.1,0.1,53,31,406,13.1,3,22,49,1.8,23.9,0.585,7.7,32,12.8,408,3,0
DeVante Parker,303.2,22,14,4,0,0,0,0,0,0,0,0,50,26,494,19,3,20,49,1.9,35.3,0.52,9.9,26,19,494,3,0
DeVante Parker,262,23,15,8,0,0,0,0,0,0,0,0,87,56,744,13.3,4,35,56,3.7,49.6,0.644,8.6,56,13.3,744,4,0
DeVante Parker,122.7,24,13,12,0,0,0,0,0,0,0,0,96,57,670,11.8,1,34,36,4.4,51.5,0.594,7,57,11.8,670,1,1
DeVante Parker,486.6,25,11,7,0,0,0,0,0,0,0,0,47,24,309,12.9,1,14,46,2.2,28.1,0.511,6.6,24,12.9,309,1,0
DeVante Parker,322.9,26,16,14,0,0,0,0,0,0,0,0,128,72,1202,16.7,9,58,51,4.5,75.1,0.563,9.4,72,16.7,1202,9,0
DeVante Parker,206.5,27,14,11,0,0,0,0,0,0,0,0,103,63,793,12.6,4,45,31,4.5,56.6,0.612,7.7,63,12.6,793,4,1
DeVante Parker,210.7,28,10,8,0,0,0,0,0,0,0,0,73,40,515,12.9,2,29,42,4,51.5,0.548,7.1,40,12.9,515,2,0
Corey Davis,370.8,22,11,9,0,0,0,0,0,0,0,0,65,34,375,11,0,17,37,3.1,34.1,0.523,5.8,34,11,375,0,1
Corey Davis,233.3,23,16,16,6,55,0,2,39,9.2,3.4,0.4,112,65,891,13.7,4,47,51,4.1,55.7,0.58,8,71,13.3,946,4,1
Corey Davis,388.2,24,15,11,0,0,0,0,0,0,0,0,69,43,601,14,2,33,38,2.9,40.1,0.623,8.7,43,14,601,2,1
Corey Davis,201.6,25,14,12,0,0,0,0,0,0,0,0,92,65,984,15.1,5,49,75,4.6,70.3,0.707,10.7,65,15.1,984,5,1
Corey Davis,204.8,26,9,9,0,0,0,0,0,0,0,0,59,34,492,14.5,4,23,53,3.8,54.7,0.576,8.3,34,14.5,492,4,2
Marvin Jones,302.7,21,14,14,2,16,0,1,13,8,1.1,0.1,85,40,587,14.7,3,26,57,2.9,41.9,0.471,6.9,42,14.4,603,3,0
Robert Woods,226.6,22,16,15,0,0,0,0,0,0,0,0,104,65,699,10.8,5,35,37,4.1,43.7,0.625,6.7,65,10.8,699,5,1
Robert Woods,242.7,23,14,9,1,0,0,0,0,0,0,0.1,80,47,552,11.7,3,27,37,3.4,39.4,0.588,6.9,48,11.5,552,3,2
Robert Woods,321.9,24,13,10,1,6,0,1,6,6,0.5,0.1,76,51,613,12,1,34,34,3.9,47.2,0.671,8.1,52,11.9,619,1,0
Robert Woods,540.8,25,12,11,2,12,0,0,8,6,1,0.2,85,56,781,13.9,5,36,94,4.7,65.1,0.659,9.2,58,13.7,793,5,1
Robert Woods,482.7,26,16,16,19,157,1,9,56,8.3,9.8,1.2,130,86,1219,14.2,6,66,39,5.4,76.2,0.662,9.4,105,13.1,1376,7,0
Robert Woods,461.3,27,15,15,17,115,1,5,20,6.8,7.7,1.1,139,90,1134,12.6,2,54,48,6,75.6,0.647,8.2,107,11.7,1249,3,0
Robert Woods,255.6,28,16,16,24,155,2,9,40,6.5,9.7,1.5,129,90,936,10.4,6,46,56,5.6,58.5,0.698,7.3,114,9.6,1091,8,2
Robert Woods,221.1,29,9,9,8,46,1,1,16,5.8,5.1,0.9,69,45,556,12.4,4,34,28,5,61.8,0.652,8.1,53,11.4,602,5,0
Robert Woods,72.6,25,14,4,1,7,0,0,7,7,0.5,0.1,25,22,216,9.8,0,10,50,1.6,15.4,0.88,8.6,23,9.7,223,0,5
DeAndre Carter,6.3,0,7,3,1,7,0,0,7,7,1,0.1,23,20,195,9.8,0,9,50,2.9,27.9,0.87,8.5,21,9.6,202,0,4
DeAndre Carter,55.6,0,7,1,0,0,0,0,0,0,0,0,2,2,21,10.5,0,1,11,0.3,3,1,10.5,2,10.5,21,0,1
DeAndre Carter,-0.6,26,16,3,0,0,0,0,0,0,0,0,14,11,162,14.7,0,6,46,0.7,10.1,0.786,11.6,11,14.7,162,0,2
DeAndre Carter,0,27,13,0,0,0,0,0,0,0,0,0,2,1,8,8,0,0,8,0.1,0.6,0.5,4,1,8,8,0,2
DeAndre Carter,1.4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DeAndre Carter,151.5,0,9,0,0,0,0,0,0,0,0,0,2,1,8,8,0,0,8,0.1,0.9,0.5,4,1,8,8,0,1
DeAndre Carter,214.9,28,17,6,10,89,0,4,27,8.9,5.2,0.6,44,24,296,12.3,3,17,26,1.4,17.4,0.545,6.7,34,11.3,385,3,3
DeAndre Carter,124.4,23,15,11,1,9,0,1,9,9,0.6,0.1,50,28,388,13.9,2,15,49,1.9,25.9,0.56,7.8,29,13.7,397,2,0
Dawson Knox,280.3,24,12,7,0,0,0,0,0,0,0,0,44,24,288,12,3,14,36,2,24,0.545,6.5,24,12,288,3,2
Dawson Knox,239.1,25,15,14,0,4,0,0,0,0,0.3,0,71,49,587,12,9,31,53,3.3,39.1,0.69,8.3,49,12.1,591,9,0
Dawson Knox,14.7,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Greg Dortch,215.3,23,5,2,1,24,0,1,24,24,4.8,0.2,3,3,15,5,0,0,10,0.6,3,1,5,4,9.8,39,0,0
Greg Dortch,357.8,22,16,6,10,16,2,4,8,1.6,1,0.6,109,62,873,14.1,9,41,84,3.9,54.6,0.569,8,72,12.3,889,11,3
Chase Claypool,203,23,15,13,14,96,0,7,25,6.9,6.4,0.9,105,59,860,14.6,2,35,59,3.9,57.3,0.562,8.2,73,13.1,956,2,0
Chase Claypool,242.7,22,15,10,0,0,0,0,0,0,0,0,53,36,478,13.3,8,30,59,2.4,31.9,0.679,9,36,13.3,478,8,1
Hunter Henry,0,23,14,13,0,0,0,0,0,0,0,0,62,45,579,12.9,4,32,34,3.2,41.4,0.726,9.3,45,12.9,579,4,0
Hunter Henry,278.6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Henry,267.9,25,12,12,0,0,0,0,0,0,0,0,76,55,652,11.9,5,36,30,4.6,54.3,0.724,8.6,55,11.9,652,5,1
Hunter Henry,284.9,26,14,14,0,0,0,0,0,0,0,0,93,60,613,10.2,4,35,33,4.3,43.8,0.645,6.6,60,10.2,613,4,0
Hunter Henry,205.7,27,17,10,0,0,0,0,0,0,0,0,75,50,603,12.1,9,34,35,2.9,35.5,0.667,8,50,12.1,603,9,0
Hunter Henry,84.7,24,7,4,0,0,0,0,0,0,0,0,10,4,39,9.8,0,3,19,0.6,5.6,0.4,3.9,4,9.8,39,0,0
Juwan Johnson,236.4,25,14,2,0,0,0,0,0,0,0,0,22,13,159,12.2,4,12,27,0.9,11.4,0.591,7.2,13,12.2,159,4,0
Juwan Johnson,429.4,22,11,0,0,0,0,0,0,0,0,0,32,14,174,12.4,0,6,38,1.3,15.8,0.438,5.4,14,12.4,174,0,1
DJ Chark,294.8,23,15,14,2,20,0,1,20,10,1.3,0.1,118,73,1008,13.8,8,42,69,4.9,67.2,0.619,8.5,75,13.7,1028,8,0
DJ Chark,65.2,24,13,12,0,0,0,0,0,0,0,0,93,53,706,13.3,5,37,73,4.1,54.3,0.57,7.6,53,13.3,706,5,0
DJ Chark,198.6,25,4,4,0,0,0,0,0,0,0,0,22,7,154,22,2,7,41,1.8,38.5,0.318,7,7,22,154,2,0
DJ Chark,173.4,26,16,6,0,0,0,0,0,0,0,0,25,17,225,13.2,0,11,28,1.1,14.1,0.68,9,17,13.2,225,0,0
Jordan Akins,165.1,27,16,9,0,0,0,0,0,0,0,0,55,36,418,11.6,2,21,53,2.3,26.1,0.655,7.6,36,11.6,418,2,0
Jordan Akins,85.1,28,13,5,1,4,0,1,4,4,0.3,0.1,49,37,403,10.9,1,20,26,2.8,31,0.755,8.2,38,10.7,407,1,0
Jordan Akins,213.5,29,13,3,1,3,0,1,3,3,0.2,0.1,33,24,214,8.9,0,11,31,1.8,16.5,0.727,6.5,25,8.7,217,0,2
Jordan Akins,437.1,23,16,9,4,20,0,1,16,5,1.3,0.3,98,61,631,10.3,4,33,53,3.8,39.4,0.622,6.4,65,10,651,4,1
Darnell Mooney,200.5,24,17,14,6,32,1,2,15,5.3,1.9,0.4,140,81,1055,13,4,49,64,4.8,62.1,0.579,7.5,87,12.5,1087,5,0
Darnell Mooney,211.6,23,13,0,112,481,4,30,31,4.3,37,8.6,18,14,95,6.8,1,5,20,1.1,7.3,0.778,5.3,126,4.6,576,5,0
Zack Moss,163.5,24,13,0,96,345,4,22,17,3.6,26.5,7.4,32,23,197,8.6,1,12,24,1.8,15.2,0.719,6.2,119,4.6,542,5,2
Zack Moss,139.6,23,16,3,4,70,0,3,42,17.5,4.4,0.3,26,20,201,10.1,0,8,39,1.3,12.6,0.769,7.7,24,11.3,271,0,0
Devin Duvernay,206.3,24,16,7,7,50,0,4,19,7.1,3.1,0.4,47,33,272,8.2,2,14,21,2.1,17,0.702,5.8,40,8.1,322,2,1
Devin Duvernay,281.9,22,16,11,3,-12,0,0,-2,-4,-0.8,0.2,66,40,562,14.1,3,23,75,2.5,35.1,0.606,8.5,43,12.8,550,3,1
Noah Fant,293,23,15,14,0,0,0,0,0,0,0,0,93,62,673,10.9,3,34,37,4.1,44.9,0.667,7.2,62,10.9,673,3,0
Noah Fant,219.8,24,16,16,0,0,0,0,0,0,0,0,90,68,670,9.9,4,29,35,4.3,41.9,0.756,7.4,68,9.9,670,4,0
Noah Fant,182,22,16,1,0,0,0,0,0,0,0,0,24,11,104,9.5,1,8,28,0.7,6.5,0.458,4.3,11,9.5,104,1,0
Josh Reynolds,131.7,23,16,8,2,8,0,1,10,4,0.5,0.1,53,29,402,13.9,5,23,33,1.8,25.1,0.547,7.6,31,13.2,410,5,0
Josh Reynolds,246.9,24,16,2,5,23,0,2,12,4.6,1.4,0.3,43,21,326,15.5,1,15,31,1.3,20.4,0.488,7.6,26,13.4,349,1,0
Josh Reynolds,159.8,25,16,13,1,5,0,0,5,5,0.3,0.1,81,52,618,11.9,2,31,40,3.3,38.6,0.642,7.6,53,11.8,623,2,2
Josh Reynolds,122.8,26,12,5,0,0,0,0,0,0,0,0,49,29,396,13.7,2,21,39,2.4,33,0.592,8.1,29,13.7,396,2,0
Josh Reynolds,37,0,7,5,0,0,0,0,0,0,0,0,36,19,306,16.1,2,15,39,2.7,43.7,0.528,8.5,19,16.1,306,2,0
Josh Reynolds,199.7,0,5,0,0,0,0,0,0,0,0,0,13,10,90,9,0,6,12,2,18,0.769,6.9,10,9,90,0,0
Josh Reynolds,99.5,22,11,0,1,4,0,0,4,4,0.4,0.1,13,4,29,7.3,0,2,14,0.4,2.6,0.308,2.2,5,6.6,33,0,6
Isaiah McKenzie,99.5,23,8,1,10,66,2,4,15,6.6,8.3,1.3,30,18,179,9.9,0,10,23,2.3,22.4,0.6,6,28,8.8,245,2,2
Isaiah McKenzie,0,0,7,1,10,66,2,4,15,6.6,9.4,1.4,30,18,179,9.9,0,10,23,2.6,25.6,0.6,6,28,8.8,245,2,2
Isaiah McKenzie,123.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
