Name,Points,Unnamed: 1_level_0Age,GamesG,GamesGS,RushingRush,RushingYds,RushingTD,Rushing1D,RushingLng,RushingY/A,RushingY/G,RushingA/G,ReceivingTgt,ReceivingRec,ReceivingYds,ReceivingY/R,ReceivingTD,Receiving1D,ReceivingLng,ReceivingR/G,ReceivingY/G,ReceivingCtch%,ReceivingY/Tgt,Total YdsTouch,Total YdsY/Tch,Total YdsYScm,Unnamed: 29_level_0RRTD,Unnamed: 30_level_0Fmb
Stefon Diggs,480.9,24,14,14,8,13,0,1,9,1.6,0.9,0.6,95,64,849,13.3,8,42,59,4.6,60.6,0.674,8.9,72,12,862,8,0
Stefon Diggs,448.3,25,15,14,10,62,0,3,20,6.2,4.1,0.7,149,102,1021,10,9,49,75,6.8,68.1,0.685,6.9,112,9.7,1083,9,0
Stefon Diggs,635.8,26,15,15,5,61,0,3,27,12.2,4.1,0.3,94,63,1130,17.9,6,41,66,4.2,75.3,0.67,12,68,17.5,1191,6,4
Stefon Diggs,528.5,27,16,15,1,1,0,0,1,1,0.1,0.1,166,127,1535,12.1,8,73,55,7.9,95.9,0.765,9.2,128,12,1536,8,0
Stefon Diggs,599.8,28,17,17,0,0,0,0,0,0,0,0,164,103,1225,11.9,10,66,61,6.1,72.1,0.628,7.5,103,11.9,1225,10,1
CeeDee Lamb,468.4,21,16,14,10,82,1,4,19,8.2,5.1,0.6,111,74,935,12.6,5,46,52,4.6,58.4,0.667,8.4,84,12.1,1017,6,2
CeeDee Lamb,582.8,22,16,13,9,76,0,4,33,8.4,4.8,0.6,120,79,1102,13.9,6,54,49,4.9,68.9,0.658,9.2,88,13.4,1178,6,0
Alvin Kamara,664.6,22,16,3,120,728,8,42,74,6.1,45.5,7.5,100,81,826,10.2,5,38,40,5.1,51.6,0.81,8.3,201,7.7,1554,13,1
Alvin Kamara,508,23,15,13,194,883,14,57,49,4.6,58.9,12.9,105,81,709,8.8,4,31,42,5.4,47.3,0.771,6.8,275,5.8,1592,18,1
Alvin Kamara,713.4,24,14,9,171,797,5,32,40,4.7,56.9,12.2,97,81,533,6.6,1,28,41,5.8,38.1,0.835,5.5,252,5.3,1330,6,4
Alvin Kamara,502.1,25,15,10,187,932,16,58,49,5,62.1,12.5,107,83,756,9.1,5,35,52,5.5,50.4,0.776,7.1,270,6.3,1688,21,1
Alvin Kamara,489.1,26,13,10,240,898,4,42,30,3.7,69.1,18.5,67,47,439,9.3,5,20,31,3.6,33.8,0.701,6.6,287,4.7,1337,9,0
Tony Pollard,246.4,22,15,0,86,455,2,21,44,5.3,30.3,5.7,20,15,107,7.1,1,4,21,1,7.1,0.75,5.4,101,5.6,562,3,1
Tony Pollard,363.8,23,16,2,101,435,4,23,42,4.3,27.2,6.3,40,28,193,6.9,1,9,30,1.8,12.1,0.7,4.8,129,4.9,628,5,0
Tony Pollard,524.4,24,15,0,130,719,2,35,58,5.5,47.9,8.7,46,39,337,8.6,0,15,32,2.6,22.5,0.848,7.3,169,6.2,1056,2,2
Miles Sanders,375.2,22,16,11,179,818,3,30,65,4.6,51.1,11.2,63,50,509,10.2,3,19,45,3.1,31.8,0.794,8.1,229,5.8,1327,6,2
Miles Sanders,297.6,23,12,11,164,867,6,39,82,5.3,72.3,13.7,52,28,197,7,0,8,28,2.3,16.4,0.538,3.8,192,5.5,1064,6,4
Miles Sanders,486.1,24,12,12,137,754,0,33,38,5.5,62.8,11.4,34,26,158,6.1,0,6,25,2.2,13.2,0.765,4.6,163,5.6,912,0,1
Travis Kelce,347.6,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis Kelce,360.5,25,16,11,0,0,0,0,0,0,0,0,87,67,862,12.9,5,46,34,4.2,53.9,0.77,9.9,67,12.9,862,5,4
Travis Kelce,445,26,16,16,0,0,0,0,0,0,0,0,103,72,875,12.2,5,40,42,4.5,54.7,0.699,8.5,72,12.2,875,5,2
Travis Kelce,444.5,27,16,15,1,-5,0,0,-5,-5,-0.3,0.1,117,85,1125,13.2,4,55,80,5.3,70.3,0.726,9.6,86,13,1120,4,0
Travis Kelce,559.8,28,15,15,2,7,0,2,4,3.5,0.5,0.1,122,83,1038,12.5,8,53,44,5.5,69.2,0.68,8.5,85,12.3,1045,8,0
Travis Kelce,500.9,29,16,16,0,0,0,0,0,0,0,0,150,103,1336,13,10,68,43,6.4,83.5,0.687,8.9,103,13,1336,10,2
