Myles Gaskin,140.159639
Kyle Philips,139.9965682
Salvon Ahmed,139.3144447
Anthony McFarland Jr.,138.6931559
Ko Kieft,138.4700701
Ke'Shawn Vaughn,138.3082249
Trevon Wesco,138.2614695
KaVontae Turpin*,137.7774422
Spencer Brown,137.4382942
Tyler Davis,137.3830477
Ryan Griffin,137.2936969
Jamison Crowder,137.2035982
Phillip Lindsay,137.0426023
Ronnie Rivers,135.5667143
Tyler Badie,135.2968135
Trey Sermon,135.2126059
Geoff Swaim,134.8696204
Laquon Treadwell,134.7868103
Kene Nwangwu,134.469051
Blake Bell,134.2203686
Dwayne Washington,133.8809984
Shane Zylstra,133.805775
Tim Jones,133.6741027
Giovani Bernard,133.2072854
Montrell Washington,133.1811011
Tony Jones,132.9533033
Keke Coutee,132.904436
D'Ernest Johnson,132.422183
James Proche,131.9324211
Kyle Rudolph,131.7647833
Tre' McKitty,131.1190814
Juwann Winfree,130.6147606
Larry Rountree,130.6033994
Luke Farrell,130.410275
Tyrie Cleveland,130.3888263
Dezmon Patmon,130.2135026
Charlie Kolar,130.110126
Cole Turner,130.0573722
DJ Turner,129.9646736
Trestan Ebner,129.7545789
Jaret Patterson,129.6836504
Mike Davis,129.3403252
Keith Kirkwood,129.1742134
Penny Hart,129.0840775
Isaiah Spiller,128.7818857
Kylin Hill,128.4027014
Brandon Johnson,128.1406108
Tyrion Davis-Price,127.9834859
Andre Baccellia,127.7885534
Zamir White,127.5549183
Frank Darby,127.4208862
Pharoh Cooper,127.3674903
Daylen Baldwin,127.2034708
Ben Ellefson,126.5544268
Dax Milne,126.2417233
Simi Fehoko,125.7796627
Tylan Wallace,125.6750925
Braylon Sanders,124.53789
Dareke Young,124.1055531
Miles Boykin,124.0211284
Cade Johnson,123.7126098
Lil'Jordan Humphrey,123.6165037
J.J. Taylor,122.847781
Dennis Houston,122.7540031
Snoop Conner,122.3373291
Sean McKeon,122.3334969
Bryan Edwards,122.3309482
Jesper Horsted,122.2973206
Kevin Harris,122.1916228
Maxx Williams,122.1566138
Deonte Harty,121.4206296
Stephen Anderson,121.3959853
Nsimba Webster,121.307635
Quintez Cephus,121.0302899
Ty Chandler,120.6951651
Stone Smartt,120.6130558
Mason Schreck,120.4941856
Tyron Johnson,120.430944
C.J. Board,120.2986067
Godwin Igwebuike,120.1697947
Ty Montgomery,120.0900118
Tommy Sweeney,120.0212616
Austin Trammell,119.9419494
Tyler Mabry,119.334234
Reggie Bonnafon,119.2095969
Richard Rodgers,119.1056413
Duke Johnson,119.062064
Jalen Tolbert,119.0543401
Devine Ozigbo,118.7957396
Maurice Alexander,118.6472064
Jalen Camp,117.9601789
Jason Moore,117.9323173
Devin Asiasi,117.8589205
Jeremy Ruckert,117.7873094
Jacob Harris,117.5504965
Ty'Son Williams,117.1408141
Damien Williams,117.046064
Michael Woods II,116.5796925
Jordan Howard,115.5092824
Jerome Ford,114.8530617
Mason Kinsey,113.573339
Cody White,112.476629
Erik Ezukanma,112.1992839
Demetric Felton,106.0985415
